col1,name_1,obsid,region_id,theta,ra,dec,significance,likelihood,src_area_b,flux_aper_b,hard_hm,hard_hs,hard_ms,powlaw_gamma,bb_kt,var_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,ks_prob_b,ks_prob_h,ks_prob_m,ks_prob_s,kp_prob_b,kp_prob_h,kp_prob_m,kp_prob_s,gti_start,gti_stop,gti_elapse,cluster,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,name_2,class,GroupID,GroupSize
198,2CXO J001954.3+155741,1595,57,17.13970862333222,4.976495803455521,15.961544994199,36.79575638327047,4052.477948481571,43.669375388670616,7.1102216444884E-13,-0.06371018113679,-0.53841349156777,-0.49094316052467,2.30424,0.275294,0.99998815554345,0.014471243433224909,0.11411701853138709,0.09416944042322412,0.13461068516678681,0.99999999301568,0.008093535496416497,0.021416242173763214,0.013576395671852922,0.03941252344651359,0.35414344369809,8.704889240616137E-4,0.026594375428542052,0.0255379103533202,0.027701893127406497,0.7777381120176,0.0043171824829715474,0.06619130611406923,0.06187412363109769,0.07050848859704079,0.9999999977910138,0.9999999999798221,0.991805457528473,0.9998506161455539,0.9999999673142338,0.9999999993665178,0.972887908284104,0.9987385415279108,1.085683038253E8,1.0858844142532E8,20137.6000200063,0,0.999999929743512,2.7924027254543457E-195,7.023306055426155E-8,2.9721467536962107E-146,2.3429515363968625E-11,1.4440510619079116E-21,2E    62,4.9764838457,15.9612169634,0.0,0.0,90.0,14,00 19 54.35612,+15 57 40.3811,Seyfert_1,AGN|X  |QSO|Sy1|Sy1|AGN|X  |G,23809.3988,0.08284,,,0.1056,-0.31,0.77,0.127,0.127,90,18.43,17.83,,15.056,,13.789,18.248,17.665,17.123,16.703,16.51,1.181636,2CXO J001954.3+155741,QSO,,
4460,2CXO J012450.8+032734,2924,56,18.2486094065252,21.211775075309447,3.4596831659951257,14.701218114696813,615.6779546563765,2077.024982562531,2.1069509185526E-13,0.13866333541537,-0.11367895065584,-0.24609618988132,1.79936,0.469366,0.99999998958067,0.007029702289370531,0.03849178737105036,0.029250148451275524,0.04666109952511202,0.99999999957052,0.0054955919267367336,0.017578371132601942,0.009391756707600854,0.02745389051694165,0.29813569069611,3.7672339601509705E-4,0.008837270355184513,0.008352194069714375,0.009284920896174245,0.14812147057904,1.1292683934420542E-4,0.011856222120016566,0.01174329528067236,0.01196914895936077,0.9999999999973437,0.9999999997244601,0.9952237516688744,0.929848367947411,0.9999999999144679,0.9999999929969665,0.9960527990051529,0.8329258454830499,1.6020375871923E8,1.6025372031904E8,49961.599810004234,0,0.9989469634901303,4.868284861093647E-197,0.0010530301066382982,1.1182103424509019E-126,6.403236756320619E-9,9.169935250916876E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2CXO J012450.8+032734,QSO,,
16007,2CXO J085034.2+445154,1708,18,17.80389325627554,132.64288574494714,44.865138756248,16.749221458054237,875.359169510111,13575.683597462412,1.6669176429474E-13,0.20612117426608,0.1474078700812,-0.059962523422861,1.51214,0.607413,1.0,0.03655731349953606,0.04930038986640261,2.283496831407642E-9,0.13949492276094916,1.0,0.022433543398112096,0.02620048801243157,1.4159868630831257E-8,0.08783647434322096,0.99999756842496,0.008044568932636777,0.01267894469476113,0.005560147406489306,0.034721749209208466,0.85955246659585,0.004227998947978502,0.012688841982198515,0.009283151463131327,0.02253432382625045,0.9999999999999996,0.999999999999367,0.9998887810352729,0.937687107384071,1.0,1.0,0.9995918879060348,0.9850299186991,7.370995960578E7,7.3772217827601E7,62258.22182099521,0,1.0,0.0,0.0,0.0,0.0,0.0,2XMM J085034.2+445153,132.6432318069,44.8650842872,0.001,0.001,90.0,6,08 50 34.37563,+44 51 54.3034,QSO,X  |QSO|X  |QSO|*  |QSO,141962.4707,0.673,,,,0.7,-0.14,,,,,,,,,,20.057,19.628,19.605,19.65,19.712,0.904512,2CXO J085034.2+445154,QSO,21,2
17453,2CXO J100055.2+022343,8003,103,16.17762174389381,150.2300845229297,2.395553717312029,13.623050973249462,1336.1474102767725,199.53368336874414,2.1929680823347E-13,0.33728919425359,0.58088694565896,0.29106808244847,3.41931,0.550565,1.0,0.013615971864502854,0.02868618085407247,0.01555000663543667,0.067208938814588,1.0,0.00964987675678318,0.017548474991648397,0.00873626493784582,0.043557799782431204,0.99993022328041,0.002368454616031816,0.00635725491408265,0.003827671759527138,0.012032303835734162,0.69998472947148,8.845807220571607E-4,0.004742175392217722,0.003782095661001613,0.006355356726139488,1.0,1.0,0.999999811638261,0.9967780429699808,1.0,1.0,0.9999971960636058,0.963658217957181,2.9192430950656E8,2.9197195430638E8,47644.79981994629,0,0.9999999999999432,0.0,9.237364205234528E-31,0.0,5.4515872155937135E-14,3.2241940220071874E-64,3XMM J100055.1+022344,150.230052,2.395523,0.01,0.01,90.0,32,"10 00 55.212  ","+02 23 43.88  ",LINER,X  |AGN|LIN|AG?|G  |LIN|Rad|AGN|LIN|G  |Sy1|AGN|G  |G,13072.8597,0.0446,,,,,,0.24,0.163,155,18.34,17.69,,13.91,13.177,16.04,17.852,16.207,15.441,16.91,14.788,0.160975,2CXO J100055.2+022343,GALAXY,,
17630,2CXO J100326.6+020455,15262,32,7.145977149502309,150.86107254425883,2.082140291418035,30.43210386797562,4857.3316134861325,7.957913829205993,3.0557356084415E-13,-0.28232354778264,-0.61836352279825,-0.40724547158026,2.72085,0.408422,0.99999979379644,0.0043550878710642265,0.024427335651203558,0.02007224778013933,0.028782423522267783,0.97424139699217,0.0011187663997552148,0.005212239621435453,0.004093473221680239,0.006331006021190668,0.86251711105471,0.001252210593699083,0.01073715091580541,0.009484940322106328,0.011989361509504495,0.99718609232381,0.0017341365847616118,0.008477631988701424,0.006743495403939812,0.010211768573463035,0.9999999992698907,0.9992259137938208,0.9954302843163547,0.9999386002503277,0.999999996933703,0.9950171808351413,0.985244327809637,0.9996537386094125,5.0594632740894E8,5.0599723156315E8,50904.15420997143,0,1.0,1.7713226337276275E-209,1.6955686376607778E-15,5.947290805512276E-124,1.1358481162857783E-18,2.701314235946382E-26,4FGL J1003.4+0205,150.8609902571,2.0821216032,0.0,0.0,90.0,9,10 03 26.63766,+02 04 55.6378,BLLac,BLL|X  |BLL|*  |UV,91799.2049,0.37212,,,,-0.71,0.18,,,,19.0,19.58,18.9,,,,20.01,19.677,19.47,19.6,19.01,0.303587,2CXO J100326.6+020455,QSO,,
21497,2CXO J114851.6+514528,7643,2,6.377475838443692,177.21513263356155,51.757861929942855,25.874418586076015,3675.2075008108854,3.1402737177615996,2.8990417014181E-13,0.053716427232979,-0.27232979387883,-0.3210493441599,1.79617,0.505188,0.99998784030786,0.004763250198057463,0.027335206514604034,0.02179347524048817,0.032067744434402815,0.83890554332822,0.0011340359985182796,0.007412323346946533,0.006278287348428254,0.008546359345464813,0.97775251055771,0.0019978818338220188,0.009333762362943495,0.007281441344816544,0.011978235675119646,0.84856584882722,0.0013812658910033956,0.010142889947053646,0.00876162405605025,0.011524155838057042,0.9999999954994842,0.9979828297934962,0.9999567291988276,0.9932921435579698,0.9999999880486372,0.9938120493601157,0.9998439543737947,0.98198704377662,2.9431784094566E8,2.9435188254553E8,34041.59987002611,0,0.9887561087675225,8.618455420091071E-194,0.011243681461849734,2.397202754137575E-104,2.0977062961710224E-7,9.371559468646745E-16,CXO J114851.6+514528,177.2150712702,51.7579549605,0.001,0.002,90.0,10,11 48 51.61710,+51 45 28.6379,Seyfert_1,AGN|AGN|Sy1|G  |AGN|X  |Sy1|*  |Sy1,19532.1084,0.06742,,,,,,,,,18.63,18.05,,,,,19.429,18.329,17.627,17.201,16.935,0.361749,2CXO J114851.6+514528,QSO,,
21939,2CXO J121537.4+471353,4738,51,6.807934185674217,183.90584549565085,47.231422240960946,11.358664883750308,432.27681730982215,9.463604811508224,3.5240448658936E-14,0.45846346033729,-0.16989381636477,-0.58338538413492,1.97701,0.895235,0.99999914938267,0.001543036127033684,0.0026203940453748817,7.844736860471688E-4,0.00773957482074395,0.99998899191994,8.614094370162218E-4,0.0010791812459676363,1.927569612860208E-4,0.004005452573314565,0.57504730641592,1.1085930353060048E-4,5.297093491144131E-4,4.1548603869589584E-4,6.947872729536469E-4,0.30712877985635,9.065180176464094E-5,0.0010482250344010199,9.180440300058611E-4,0.0011961081919024093,0.9999999926728018,0.9999995751330737,0.967685918873665,0.960697022330656,0.9999999987416227,0.9999986346079005,0.9930898569090822,0.89380832093769,1.9356012275873E8,1.9363378355845E8,73660.7997200191,0,0.9963823491656963,0.0,1.506019391667303E-79,0.0,0.003617650834304336,4.0226000070148176E-60,2MASS J12153740+4713536,183.905893005,47.231490771,0.0,0.0,90.0,16,12 15 37.41432,+47 13 53.3668,Seyfert_1,IR |QSO|QSO|QSO|*  |Sy1|QSO|Rad|QSO,114758.3008,0.496797,,,,-0.21,0.2,,,,18.45,18.14,,16.392,15.43,15.027,18.417,17.958,17.715,17.464,17.474,0.272677,2CXO J121537.4+471353,QSO,,
22049,2CXO J122001.3+054607,9569,276,10.3776983062413,185.0055622567063,5.768820249054419,9.12398435925369,175.14060708112387,20.05090624072565,2.63646662506E-14,0.26608369768894,0.042473454091193,-0.22735790131168,1.30969,0.714131,0.99815009653458,7.531064457055342E-4,0.0024671217374269768,0.0017285927332066975,0.0038027413105410604,0.98218961137525,3.5901900491026916E-4,0.0011541954295308566,7.951764246205875E-4,0.0015132144344411258,0.92768858327683,3.061162965961996E-4,6.878834830485348E-4,3.664213269787341E-4,0.0013224143573036667,0.41367638378123,6.872415311818056E-5,6.260011542337088E-4,5.446604004058401E-4,7.276312278374153E-4,0.9999412994697562,0.997812522326883,0.951540673232292,0.89322013672457,0.9999994576944276,0.9992463615256518,0.9999493309406816,0.93107246507803,3.1924159560764E8,3.1934383560726E8,102239.99961996078,0,0.9999999917970968,0.0,1.4302860698692175E-14,6.718704458706689E-177,8.202883532685885E-9,2.5800320670979193E-20,2XMM J122001.2+054609,185.0053150604,5.769077248,0.002,0.002,90.0,2,12 20 01.27561,+05 46 08.6781,AGN_Candidate,X  |AG?|*,,,,,,,,,,,,,,,,,21.222,19.857,18.946,18.455,18.227,1.280594,2CXO J122001.3+054607,QSO,,
23996,2CXO J125631.1+564921,4030,7,4.4145905090912,194.12979132290468,56.82253469749437,37.74800527721968,7261.639396364094,1.6912516726321232,4.7330715038424E-14,0.11118051217989,-0.26733291692692,-0.36602123672705,1.755,0.322948,0.48117690357726,24.32912341601188,1.0411401288382567,0.0030555015604056012,572.9062885862459,0.21142653082465,308.41474959374534,13.122423937177425,0.0012154490396729845,7262.509679859549,0.90325956360847,4406.8678658086765,187.4855890484242,0.001262794201350232,103772.31923896985,0.26745102075502,2073.8036804203507,88.22997493007303,0.0025181911544866964,48833.64633425576,0.08585230633089003,0.34858745017135995,0.9503120325621071,0.84922367434411,0.05655056864008001,0.26689755473487,0.922337728816683,0.6243521829837699,1.6216189098898E8,1.6219882058884E8,36929.59986001253,0,1.0,0.0,0.0,0.0,5.244490249920116E-75,0.0,2XMM J125631.1+564920,194.1297986364,56.8225718484,0.001,0.0,90.0,2,12 56 31.15167,+56 49 21.2587,QSO,*  |QSO|X,195954.2951,1.185,,,0.0193,0.38,-0.01,,,,,,,,,,20.951,21.072,20.674,20.769,20.432,0.134517,2CXO J125631.1+564921,QSO,123,5
24022,2CXO J125710.7+272417,12887,5,7.368266972000302,194.29499045444118,27.40496611221328,15.407277809058542,1002.7807965223457,5.8172437102732575,1.0152146283357E-13,0.088694565896315,-0.096189881324172,-0.18363522798251,1.46095,0.661535,1.0,0.004733220173567689,0.008380172375501371,0.0035186551134848017,0.015724717888869286,0.99994826243976,0.0016816984472761303,0.0031498028541896476,0.0014972335797400213,0.005776216906747201,0.9999999997688,0.0020315707170763184,0.0032285725478553196,8.062634003795479E-4,0.006549631134448539,0.9067675779842,6.087558017577925E-4,0.0019553848242046382,0.0013489611035036298,0.0028750544779585696,0.9999999999997695,0.9999803234804453,0.9999995932331438,0.9950465993458047,1.0,0.9999991756518335,0.9999999999817878,0.9990150412925417,4.0582677488309E8,4.0587079798343E8,44023.100340008736,0,1.0,0.0,2.0767224789555234E-109,0.0,3.5579335625729246E-17,1.1469634470002532E-41,2MASX J12571076+2724177,194.2948168922,27.4049386232,0.001,0.001,90.0,53,12 57 10.75605,+27 24 17.7790,Seyfert_2,Sy1|G  |AG?|AGN|Sy2|G  |G  |GiC|Sy1|AGN|UV |X  |G,6135.6165,0.02068,,Sbc,,,,0.303,0.273,125,15.0,,,13.236,12.518,12.105,17.166,15.511,14.79,14.437,14.18,0.563462,2CXO J125710.7+272417,GALAXY,,
