,index,size
0,**,27
1,AGN,180
2,AGN_Candidate,75
3,Ae*,5
4,BClG,70
5,BLLac,34
6,BYDra,8
7,Be*,2
8,Blazar_Candidate,1
9,Blue,15
10,BlueSG*,11
11,BlueStraggler,3
12,Candidate_CV*,3
13,Candidate_HMXB,1
14,Candidate_LensSystem,1
15,Candidate_XB*,193
16,Candidate_YSO,21
17,CataclyV*,12
18,Cl*,42
19,Cl*?,3
20,ClG,9
21,Cloud,10
22,EB*,14
23,Em*,16
24,EmG,8
25,EmObj,3
26,Galaxy,126
27,GinCl,25
28,GinGroup,25
29,GinPair,22
30,GlCl,226
31,GlCl?,27
32,GravLensSystem,14
33,GroupG,10
34,HH,3
35,HII,20
36,HII_G,2
37,HMXB,100
38,HVCld,3
39,IG,5
40,IR,22
41,ISM,2
42,Irregular_V*,2
43,LINER,19
44,LMXB,199
45,LPV*,1
46,LSB_G,1
47,LensedImage,34
48,LensedQ,46
49,MIR,1
50,Maser,5
51,MolCld,4
52,NIR,5
53,Nova,21
54,Orion_V*,139
55,PM*,4
56,PN,3
57,PairG,1
58,PartofG,129
59,Possible_G,2
60,PulsV*bCep,1
61,Pulsar,33
62,QSO,809
63,QSO_Candidate,6
64,Radio,168
65,Radio(cm),7
66,Radio(mm),5
67,RadioG,8
68,Region,1
69,RotV*,2
70,RotV*alf2CVn,1
71,SB*,24
72,SN,28
73,SNR,17
74,SNR?,8
75,Seyfert_1,119
76,Seyfert_2,35
77,Star,982
78,StarburstG,1
79,Symbiotic*,1
80,TTau*,42
81,Transient,4
82,ULX,11
83,ULX?,33
84,UV,5
85,Unknown,20
86,V*,2
87,WD*,1
88,WR*,88
89,X,801
90,XB,94
91,YSO,142
92,deltaCep,2
93,denseCore,1
94,gamma,11
95,outflow?,1
