,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
110,2CXO J001600.2-273247,5039,Candidate_YSO,0.33065907640535425,0.3779283691636927,0.1398545784255886,0.09896727637063409,0.052590699634730224
251,2CXO J002441.0+642032,115,TTau*,0.1724255917603287,0.18330700845675263,0.1249486790586204,0.2731796893332907,0.24613903139100762
288,2CXO J002651.2+640342,10094,YSO,0.10489234248916807,0.1265365199918509,0.29078068923693273,0.18297265550583602,0.2948177927762122
484,2CXO J004207.9+410436,2017,Candidate_YSO,0.4356896863562681,0.4490344144888886,0.028921192547311986,0.05354392155484397,0.03281078505268734
1512,2CXO J004246.1+411543,13826,Orion_V*,0.1534878418684699,0.16969280416999782,0.28891138337353545,0.18368356575961364,0.20422440482838314
2104,2CXO J004307.7+404821,4536,Candidate_YSO,0.42448147794621555,0.44063916640944883,0.024927388136785678,0.08642730286538867,0.023524664642161464
2290,2CXO J004350.7+325805,2732,Candidate_YSO,0.39343359058130034,0.41178974666584117,0.0741770894408388,0.07401250895406683,0.04658706435795287
2421,2CXO J004830.1-250841,3931,Candidate_YSO,0.4356410166386033,0.4551664371900082,0.007164415964562548,0.09109011665070872,0.010938013556117308
2539,2CXO J005200.7+563606,5424,YSO,0.04194489248694274,0.15709488991652296,0.2243222294503858,0.19478210453814224,0.38185588360800615
2568,2CXO J005350.7+352948,14895,Candidate_YSO,0.396440253400767,0.45638556670209823,0.0236465502603331,0.09366797020786036,0.029859659428941115
2571,2CXO J005414.0-351712,5784,YSO,0.11501580105938253,0.15794067729730418,0.21422612099586172,0.25320047869917944,0.25961692194827213
3113,2CXO J010408.9-221559,13450,Orion_V*,0.15684138148340152,0.19189701848935317,0.2680316462292688,0.25655215196788156,0.12667780183009486
3163,2CXO J010533.6-721448,5143,YSO,0.13495079398290769,0.1349590295162769,0.1675480821322325,0.26768644433390426,0.29485565003467873
3294,2CXO J012450.8+032734,2924,Candidate_YSO,0.41037825947557766,0.42194942413904357,0.03115920039832437,0.11543289917694927,0.021080216810105048
3305,2CXO J012642.1-011409,7823,Candidate_YSO,0.1503663491222112,0.23315869015306123,0.21900890564643066,0.20894166139742626,0.18852439368087062
3341,2CXO J013236.8+303228,6385,Candidate_YSO,0.251311162979767,0.3731510796018488,0.090395484494079,0.15278648131427303,0.1323557916100323
3342,2CXO J013236.8+303228,6377,Candidate_YSO,0.3584550227080671,0.39125385145241076,0.04143558035929687,0.15223572844955519,0.056619817030670164
3363,2CXO J013253.9+303311,1730,YSO,0.186360425866194,0.23824232326416583,0.11646095458643393,0.18191244671238524,0.27702384957082093
3405,2CXO J013324.0+304347,6388,Candidate_YSO,0.325991741889369,0.33916447496669416,0.08618792376302607,0.1209363446096109,0.12771951477129986
3409,2CXO J013324.4+304402,6388,Candidate_YSO,0.325991741889369,0.33916447496669416,0.08618792376302607,0.1209363446096109,0.12771951477129986
3665,2CXO J015751.4+375305,3752,TTau*,0.19658691134336173,0.22263212588647258,0.17557271357925575,0.2489569035965556,0.15625134559435422
3667,2CXO J015803.8+374113,3752,Candidate_YSO,0.21973426580134203,0.25643065489601163,0.08038270027428773,0.2158813465892434,0.22757103243911514
3713,2CXO J020446.5-050404,4129,TTau*,0.26885204216033237,0.29845624946838967,0.10828856727958039,0.3011025725720889,0.023300568519608756
3825,2CXO J021903.0+570300,12021,YSO,0.07657669222645509,0.2059874756417464,0.18232080490427086,0.23666487966134067,0.29845014756618704
3850,2CXO J022054.3+421721,794,Candidate_YSO,0.3652628989217456,0.4414633907362901,0.027773123437432806,0.13126209155212387,0.03423849535240766
3857,2CXO J022123.1+421722,794,Candidate_YSO,0.3636640757452856,0.37218061096552063,0.11000315225078101,0.08725640817180319,0.06689575286660973
3868,2CXO J022226.3+421833,4613,Candidate_YSO,0.19122274414017643,0.2449664994202653,0.130561726311428,0.19020222834343994,0.2430468017846902
3917,2CXO J022617.0+614919,5889,YSO,0.07615339183755161,0.11162545873988805,0.2742431811643094,0.21089380049999587,0.32708416775825516
3940,2CXO J022727.4+615711,5889,YSO,0.08804137321215895,0.2135199524641633,0.18872993362962065,0.16705595788448258,0.3426527828095745
3981,2CXO J023352.7+612617,7033,YSO,0.10327783737436484,0.15032876075602436,0.2348532188114003,0.20000196250391988,0.3115382205542905
4011,2CXO J024017.8+390151,8198,TTau*,0.160703417934222,0.1104945467836173,0.15258513984393535,0.40044989982222584,0.17576699561599943
4152,2CXO J030537.4+351531,4142,TTau*,0.24970316960053154,0.24621361910190045,0.10661553823791778,0.28023091963228,0.11723675342737022
4232,2CXO J031701.4+411709,9097,TTau*,0.1766291273577512,0.19968032277785147,0.2168186006359062,0.26097725828409524,0.1458946909443959
4298,2CXO J031851.0+414151,4952,Candidate_YSO,0.3618101513406206,0.3738989255259102,0.03727400318692892,0.16619188727355477,0.060825032672985606
4299,2CXO J031851.0+414151,4950,Candidate_YSO,0.41958106573915005,0.46329453132931675,0.00816868761380447,0.0956959543870537,0.0132597609306751
4306,2CXO J031902.6+413916,4950,Candidate_YSO,0.3520428787454285,0.4130636241889683,0.04737480267231568,0.13383661077877304,0.05368208361451452
4313,2CXO J031921.1+413119,11714,TTau*,0.1605369330449679,0.20246346921397407,0.16232354616151998,0.31515324619429264,0.15952280538524558
4328,2CXO J031937.2+411830,11715,TTau*,0.09669841396985963,0.14888577038210613,0.15149973142089154,0.3425708872826681,0.2603451969444746
4467,2CXO J032905.9+311640,6436,YSO,0.1328338982524458,0.1656115867430776,0.1975573019071994,0.10447927856802317,0.399517934529254
4785,2CXO J033238.1-250401,5764,Candidate_YSO,0.20802585582826782,0.31739844690873836,0.12277860735363705,0.19076998026828335,0.16102710964107336
4896,2CXO J033314.5-250002,5764,YSO,0.06481144212638913,0.13614796921585468,0.13579916187391658,0.3180834071165036,0.34515801966733595
4975,2CXO J033646.5-350629,4170,TTau*,0.20288372476126013,0.2542557629830623,0.14468348420840627,0.3214945161718481,0.07668251187542319
5009,2CXO J033808.7-353419,4174,YSO,0.12956028372818934,0.1505370745856267,0.21492873937572796,0.2456488096024682,0.2593250927079878
5120,2CXO J034328.7+315458,8933,TTau*,0.18983418718877182,0.1923462034517911,0.10924907861498381,0.2625502770307887,0.24602025371366468
5302,2CXO J035600.8-375028,5761,Candidate_YSO,0.43157842998708623,0.4536882719809941,0.013430997719207869,0.028068918711558668,0.07323338160115327
5397,2CXO J041448.2+053057,3419,Candidate_YSO,0.1788512602289498,0.31340899726467,0.12474066248613253,0.27060158890270375,0.11239749111754396
5626,2CXO J043741.6+505646,7478,Orion_V*,0.14343086882195016,0.21511007537010474,0.23074167549030636,0.21001508516056946,0.20070229515706942
5642,2CXO J043917.3+051506,9761,TTau*,0.056595573409507084,0.10050590400240449,0.25998934653113,0.29741005333810605,0.2854991227188524
5755,2CXO J045414.9-100226,12880,Candidate_YSO,0.36578451016344077,0.38172052382060595,0.013588414446559262,0.12615350968173755,0.1127530418876563
5851,2CXO J050644.8-315311,4062,TTau*,0.2057441611947288,0.27811668269155737,0.08500657038352145,0.29142811888412756,0.13970446684606486
5853,2CXO J050706.7-315211,4062,TTau*,0.0985358357234686,0.1894450802948819,0.12566108625348033,0.3386202087559071,0.247737788972262
