,name,obsid,main_type,AGN,HMXB,Orion_V*,QSO,YSO
16,2CXO J000132.1-245809,13394,QSO,0.27250499885742985,0.24555143670548737,0.09489095516268117,0.2967267113066451,0.09032589796775661
17,2CXO J000134.9+233540,14898,YSO,0.2151741003155544,0.2308847550728589,0.12801210458198764,0.18843277828242352,0.23749626174717547
18,2CXO J000136.1+130639,6978,Orion_V*,0.019475535152584267,0.1039483156261847,0.5284372639735951,0.005972567706219504,0.34216631754141635
22,2CXO J000209.6+232304,14898,Orion_V*,0.22436338564760447,0.21513793362048647,0.25479086364822706,0.1642202047382449,0.1414876123454371
44,2CXO J001029.8-250208,9547,QSO,0.25172952047536534,0.1445519617240518,0.07716613420687413,0.48288430956463335,0.04366807402907534
63,2CXO J001308.5-193735,4945,Orion_V*,0.22678450973274697,0.1877015760423746,0.2747327683584257,0.13343118112248248,0.17734996474397027
85,2CXO J001421.4-494117,13471,QSO,0.3324298740042852,0.13563958959389769,0.10218374611781471,0.3338737698266064,0.09587302045739607
99,2CXO J001511.8-494627,13471,YSO,0.19118093965803137,0.1731898685911948,0.207758230599359,0.17281688819383728,0.2550540729575777
129,2CXO J001853.5+162750,520,AGN,0.37546220770284017,0.26365555181660144,0.03941715606089434,0.23181218368888443,0.08965290073077961
134,2CXO J001951.8-705701,13919,QSO,0.28838012766302695,0.1328061162718891,0.09286764812642796,0.366609999667566,0.11933610827109001
140,2CXO J002024.4+591525,8458,HMXB,0.21967366450618492,0.274001527417574,0.22769242337825157,0.06673846099755328,0.2118939237004363
154,2CXO J002222.8+001050,2252,QSO,0.24914644133578076,0.18421647567866303,0.16390884233832934,0.28361580162327116,0.11911243902395569
162,2CXO J002305.9-720648,2737,QSO,0.2805163709335195,0.2845005427207522,0.06060186747643852,0.3085755198050837,0.06580569906420611
172,2CXO J002316.1-720733,2735,QSO,0.30202829555668287,0.20967283235201045,0.06601334587438386,0.3361342922869611,0.08615123392996173
173,2CXO J002316.1-720733,2737,AGN,0.33198040294821257,0.18093789576457503,0.0792164742549593,0.2736062218867264,0.13425900514552658
174,2CXO J002316.1-720733,2736,HMXB,0.18834240219230294,0.28740943015804027,0.16674791027878225,0.13272696988492758,0.224773287485947
187,2CXO J002345.2-015511,8918,AGN,0.3648310861651189,0.16946881038312692,0.0720145491554551,0.3472951830804272,0.04639037121587185
264,2CXO J002516.9-123033,10413,AGN,0.27659463023611297,0.14007344731943272,0.16792583725450425,0.26137089008941666,0.15403519510053335
265,2CXO J002518.9-122623,5010,HMXB,0.27450080577317726,0.49760794999122154,0.08776321408219755,0.016262182961206812,0.12386584719219677
272,2CXO J002537.9-721523,2737,QSO,0.32535824744520503,0.13811469142590668,0.07555881459423587,0.39511449478467403,0.06585375174997836
273,2CXO J002537.9-721523,2738,AGN,0.46859165613474574,0.09617351648989865,0.07310537405416367,0.2916894761735657,0.07043997714762622
274,2CXO J002537.9-721523,2736,AGN,0.42371551129652324,0.14145534311743402,0.037215286350320786,0.35126538461725465,0.04634847461846735
275,2CXO J002540.8-122811,10413,HMXB,0.17788461146015594,0.3048877725159328,0.19096367325827102,0.14942757285608918,0.17683636990955107
276,2CXO J002540.8-122811,3251,QSO,0.2080931072988771,0.28363092779387816,0.12686052422143168,0.3078453047017431,0.07357013598407006
277,2CXO J002540.8-122811,10797,QSO,0.21317450316350087,0.1552919124888609,0.12664435033872146,0.3566110208256881,0.14827821318322873
281,2CXO J002549.0-122659,10786,QSO,0.22638488525151187,0.26948672498333925,0.09487162664606708,0.29161010627232414,0.11764665684675776
282,2CXO J002549.0-122659,10797,QSO,0.22626707618971734,0.18128407635417707,0.1921974756307898,0.23710556362251423,0.1631458082028015
283,2CXO J002549.5+171721,929,QSO,0.19141187490770384,0.21802004862889823,0.13262875827677376,0.40904147613514585,0.04889784205147838
286,2CXO J002651.2+640342,10093,AGN,0.3038411240726316,0.1701333885932148,0.21621270664413947,0.13537192877000667,0.17444085192000738
287,2CXO J002651.2+640342,7639,Orion_V*,0.07011559215391405,0.13187582262719383,0.49998576870714695,0.036516814577495796,0.26150600193424933
302,2CXO J002824.0-753509,14390,Orion_V*,0.1241606244823754,0.28891466551007416,0.3617493679835267,0.05931927589199524,0.16585606613202852
305,2CXO J003159.1+393221,9525,QSO,0.3128825146432815,0.09818692123613011,0.13276270500263906,0.3226155389378982,0.13355232018005117
309,2CXO J003241.1+394009,12991,AGN,0.3308590070692659,0.20461940726008268,0.08203026592808489,0.2709654180088003,0.11152590173376632
311,2CXO J003320.3+394129,12991,QSO,0.25513196367638014,0.19225502020725607,0.1323434928255829,0.3033498542617273,0.1169196690290536
340,2CXO J003717.2-333435,8175,AGN,0.46521294864472884,0.15580558151479465,0.10437134118063787,0.22359718371864676,0.05101294494119188
355,2CXO J003749.2-334404,9531,QSO,0.29758051574785344,0.2182740565182053,0.0850651024331102,0.33457261412622047,0.06450771117461059
356,2CXO J003750.0-334641,2019,HMXB,0.1987181872409,0.37631188266754356,0.08033003043485354,0.2565056872576384,0.0881342123990645
362,2CXO J003756.3-504834,13493,AGN,0.4064845146548953,0.11363404584453597,0.08034545618585119,0.3271593498388434,0.072376633475874
363,2CXO J003758.2-335336,9531,QSO,0.2384602350424497,0.13889157640853017,0.17429992680554268,0.36720801052839636,0.08114025121508117
364,2CXO J003758.2-335336,2019,Orion_V*,0.13946469391465952,0.2124176598500882,0.2781342747173597,0.19260621458950528,0.1773771569283873
366,2CXO J003804.2-335631,9807,AGN,0.5415999945469446,0.059486491342988376,0.028193661573110887,0.34978468594403234,0.02093516659292386
375,2CXO J003839.5-505507,13493,AGN,0.4044417268874486,0.08260812624318446,0.07783624577838713,0.3744937076291719,0.060620193461808
377,2CXO J003902.1-504851,13493,QSO,0.381072992172722,0.0944521654559895,0.052863878199248863,0.4150680533921726,0.05654291077986706
383,2CXO J003926.1+032531,11389,QSO,0.27311521873437206,0.12047678209698695,0.11315803103366513,0.3540992838636339,0.13915068427134195
386,2CXO J003933.6+031828,11389,QSO,0.3577546234487072,0.12078337613404065,0.0462842687491971,0.3905510449472415,0.08462668672081357
395,2CXO J004019.0+032136,4053,AGN,0.3048854770823788,0.25544075865433946,0.10197390346784607,0.25205512650866735,0.08564473428676825
772,2CXO J004222.2+405924,2050,HMXB,0.2332893538214572,0.2469521123277673,0.13971420041372323,0.23075975890886563,0.1492845745281867
891,2CXO J004226.1+412552,1575,HMXB,0.22033083357654426,0.261596667484949,0.15077878306125153,0.18331272895048922,0.18398098692676593
908,2CXO J004228.2+411222,7136,HMXB,0.16811739444475807,0.4336470824266464,0.10212131885539803,0.17189752849686515,0.12421667577633232
918,2CXO J004228.2+411222,7139,HMXB,0.1511822293858145,0.3318057190131448,0.11254221764506812,0.25966770978820464,0.14480212416776808
920,2CXO J004228.2+411222,2051,HMXB,0.21395343127419256,0.2848587697712906,0.17766530663731417,0.18063379155107934,0.14288870076612334
921,2CXO J004228.2+411222,14928,HMXB,0.22196563719776133,0.31503211353190025,0.15629213585422647,0.1782606160054049,0.12844949741070688
937,2CXO J004228.2+411222,8186,Orion_V*,0.1393621387774378,0.18273366256921011,0.27209572805299537,0.19178507890734536,0.21402339169301127
947,2CXO J004228.2+411222,12971,HMXB,0.1276390362327139,0.41346390965877283,0.12762651945464748,0.1755480454586751,0.1557224891951906
948,2CXO J004228.2+411222,4721,HMXB,0.16692685315148775,0.37480758371335154,0.1447886159346074,0.1718869189108114,0.1415900282897419
950,2CXO J004228.2+411222,9523,HMXB,0.11028324051311539,0.3221002937084964,0.1827045750130264,0.21746783104240336,0.16744405972295842
952,2CXO J004228.2+411222,8195,HMXB,0.22564316984464228,0.31582209893259233,0.09096610987098865,0.22113064307793043,0.14643797827384622
966,2CXO J004230.9-125524,13925,QSO,0.3218638620198698,0.1457535138221672,0.07296081667074049,0.3444741564344771,0.1149476510527455
973,2CXO J004231.1+411621,1585,HMXB,0.1753907528620506,0.28420964264956466,0.13822391333755782,0.21884343544858498,0.18333225570224204
975,2CXO J004231.1+411621,308,HMXB,0.1396695077719507,0.3435797970829429,0.1798361972547134,0.20280931700571764,0.13410518088467532
993,2CXO J004231.1+411621,7064,HMXB,0.06887937544660126,0.37741191484826103,0.1845753465890813,0.17325923719473937,0.19587412592131687
1013,2CXO J004231.1+411621,14197,HMXB,0.10712445938553485,0.32568781304130795,0.2438335128650415,0.16452248277018416,0.15883173193793143
1085,2CXO J004232.0+411314,14929,HMXB,0.20881323321451378,0.6240239254584499,0.0489347323985321,0.06447402742368279,0.05375408150482144
1091,2CXO J004232.0+411314,13837,HMXB,0.2356972057452289,0.3470210521479043,0.07870836912269669,0.25118863213720244,0.08738474084696768
1096,2CXO J004232.0+411314,13834,HMXB,0.24024055913550502,0.29714715708645806,0.12445423674753102,0.23174172271054877,0.10641632431995711
1113,2CXO J004232.0+411314,15328,HMXB,0.15538416886537937,0.39418373146584323,0.12192870347797663,0.22172479099204062,0.10677860519876003
1269,2CXO J004239.5+411614,1575,HMXB,0.036047399581169766,0.42170730135433265,0.31101349793956984,0.06800213934941989,0.16322966177550788
1302,2CXO J004241.6+411436,7064,HMXB,0.2623292698033442,0.27317051291813105,0.1571004098169279,0.2210945724184938,0.08630523504310296
1303,2CXO J004241.6+412105,14198,AGN,0.42315385321760635,0.22588419811371294,0.13070450866442118,0.08080853814331206,0.13944890186094755
1304,2CXO J004241.6+412105,14197,HMXB,0.21811954435764808,0.34923525704407127,0.1101499525396364,0.21128599933474768,0.11120924672389654
1322,2CXO J004242.4+411553,14195,HMXB,0.10852927674542079,0.3703324276265643,0.24960165390814482,0.1114711324292179,0.1600655092906521
1334,2CXO J004242.5+411659,13828,AGN,0.2892534921915483,0.2550581462643135,0.09808651590016072,0.2339466320999038,0.12365521354407372
1345,2CXO J004242.9+411543,14197,Orion_V*,0.21440456656704204,0.23166693075691355,0.2770353375753345,0.11509517677213058,0.16179798832857933
1440,2CXO J004244.4+411607,1585,YSO,0.09654842082836519,0.1381540883555816,0.28583050053015713,0.14270135068418321,0.3367656396017128
1445,2CXO J004244.6+411618,14196,HMXB,0.2092807836597921,0.3205185530074246,0.16678631708904576,0.21401581484141827,0.0893985314023193
1479,2CXO J004245.1+411621,14930,HMXB,0.18169427200094054,0.24281604427980857,0.2379962168406134,0.17829720836524848,0.15919625851338895
1484,2CXO J004245.1+411621,14198,HMXB,0.07228422044982041,0.3622111855488886,0.285245818095586,0.12276800016531711,0.1574907757403879
1485,2CXO J004245.1+411621,1581,HMXB,0.10878736988854662,0.42061520914138045,0.17464346620120297,0.1514422378110246,0.1445117169578454
1500,2CXO J004245.9+411036,11278,HMXB,0.1392403666869159,0.3011267042346898,0.18929175901781745,0.11431895903569113,0.2560222110248857
1515,2CXO J004246.9+411615,7068,Orion_V*,0.1370382351154531,0.21890788862421798,0.27518120411700575,0.18154927383256506,0.18732339831075814
1519,2CXO J004246.9+411615,13827,Orion_V*,0.034368776296627816,0.34107747986196923,0.3736393991163811,0.08828248602929611,0.16263185869572577
1523,2CXO J004246.9+411615,14196,HMXB,0.052775660401111875,0.35712732242307343,0.3470589537118858,0.09539632469300756,0.14764173877092143
1526,2CXO J004246.9+411615,13835,HMXB,0.12194391000673685,0.31101285057809946,0.22587141133673763,0.15263955757020617,0.18853227050821994
1527,2CXO J004246.9+411615,7064,AGN,0.3291592703961298,0.19151452299974261,0.1961683497129271,0.17677499805095773,0.10638285884024268
1613,2CXO J004247.8+411532,15267,QSO,0.14958683881100776,0.20999367058981047,0.1729534080212686,0.3061000661933647,0.1613660163845485
1614,2CXO J004247.8+411532,8186,AGN,0.3402582846337976,0.2599046660507094,0.08310208922532253,0.23226927276680653,0.08446568732336385
1618,2CXO J004247.8+411532,14197,HMXB,0.06665191010312631,0.3542498084556883,0.2979433162851809,0.15634552119806,0.12480944395794462
1659,2CXO J004248.5+411521,15324,HMXB,0.2975198330375353,0.38895297675263274,0.099487444655826,0.08291664027027737,0.13112310528372856
1666,2CXO J004248.5+411521,11841,HMXB,0.12219654307318137,0.4457648603155879,0.14106540050238903,0.15331329530259563,0.13765990080624618
1672,2CXO J004248.5+411521,12972,HMXB,0.13464198282608938,0.2751578653283376,0.20564035792999955,0.2622511457198127,0.12230864819576075
1673,2CXO J004248.5+411521,4721,HMXB,0.1345052580224609,0.2967714714117747,0.13998164962135226,0.23448038985201963,0.1942612310923926
1706,2CXO J004248.5+411521,8184,HMXB,0.15713022902905893,0.38037455459459296,0.16580741147776612,0.22037243258770634,0.07631537231087564
1856,2CXO J004254.9+411603,12162,HMXB,0.1665372725887376,0.40577733063112925,0.18907981210877173,0.09215409536134996,0.14645148931001142
1863,2CXO J004255.1+411836,13827,QSO,0.18753658822676916,0.2071846101653163,0.1514454709339003,0.33476239849656697,0.11907093217744731
1877,2CXO J004257.9+411104,2895,QSO,0.12695371585140292,0.23524567168128463,0.21909897485991653,0.23661815112581855,0.18208348648157743
1878,2CXO J004257.9+411104,1585,HMXB,0.07927776931715039,0.4320581301831,0.2657152473133806,0.07141250891520784,0.15153634427116125
1879,2CXO J004257.9+411104,4680,AGN,0.30109535883296523,0.2804443742183038,0.13346402248105046,0.185917022474838,0.09907922199284262
1881,2CXO J004257.9+411104,7138,HMXB,0.1553856633874528,0.28713378371364795,0.1683614342982352,0.1821589362128098,0.2069601823878543
1884,2CXO J004257.9+411104,311,HMXB,0.2643671567859688,0.3543115149723836,0.13424046889954058,0.15643063482107014,0.09065022452103683
1890,2CXO J004257.9+411104,1581,HMXB,0.10913099264588431,0.47858324418344383,0.11595408087547097,0.17396479383356703,0.12236688846163374
1891,2CXO J004257.9+411104,4679,HMXB,0.2936606915963174,0.3305800583680936,0.08957501129258469,0.19624368014022817,0.08994055860277606
1893,2CXO J004257.9+411104,11275,HMXB,0.17450281191680786,0.31504768599768224,0.12159998347877769,0.2624012221857101,0.12644829642102226
1897,2CXO J004257.9+411104,8183,HMXB,0.20661699419173662,0.4434060132722495,0.07722987196321775,0.16719049643066383,0.1055566241421323
1898,2CXO J004257.9+411104,12160,HMXB,0.17235101880179626,0.2516599894807011,0.17591800491864973,0.24241223586544866,0.15765875093340428
1901,2CXO J004257.9+411104,9521,QSO,0.16126498389366253,0.1825052617926976,0.241628351641001,0.24713221761400211,0.16746918505863687
1903,2CXO J004257.9+411104,12162,HMXB,0.1830738332773556,0.2762103225350385,0.22986763140259509,0.1438817897168503,0.16696642306816042
1911,2CXO J004257.9+411104,10716,HMXB,0.13424735142405597,0.2762875514925959,0.20204340943973909,0.2101736018432765,0.17724808580033266
1912,2CXO J004257.9+411104,13302,HMXB,0.22405996251251137,0.39485991148830696,0.12286487222300511,0.13441846314722342,0.12379679062895317
1916,2CXO J004257.9+411104,8193,AGN,0.28472147780410856,0.19783642151622746,0.13125833215712804,0.21323894481030287,0.17294482371223308
