,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
6,2CXO J000028.5+623053,2810,QSO,0.27811072370888235,0.10776348604277122,0.3498083132388782,0.13561680470875223,0.12870067230071588
27,2CXO J000316.3+161714,11309,QSO,0.24927937189421223,0.08805753422802623,0.4500824030398765,0.11690181505537009,0.09567887578251492
37,2CXO J000811.4+511535,8942,QSO,0.35023514857943056,0.04331720141628065,0.4555900039566014,0.10672502806655082,0.04413261798113662
58,2CXO J001224.6-272008,5038,QSO,0.3428918919556966,0.017913624888234593,0.4541744721767079,0.15942083257753167,0.025599178401829285
83,2CXO J001418.2-495051,13471,QSO,0.20858654774793722,0.07992968642656638,0.5529959907030425,0.09892466607452936,0.05956310904792447
94,2CXO J001455.0-494947,13471,AGN,0.31139498080598343,0.061505285816956246,0.2608507819671242,0.2036825098301389,0.16256644157979716
102,2CXO J001524.0+171401,10547,HMXB,0.2037619595018832,0.3679633596107503,0.2524763711875247,0.07175139525426939,0.10404691444557251
121,2CXO J001817.8+301332,10231,QSO,0.23805696204521806,0.2035439468018244,0.36428171942890564,0.08899279984791858,0.10512457187613344
139,2CXO J002024.4+591525,7082,AGN,0.34964818253509555,0.221841325453902,0.19736315863033047,0.10571647181555745,0.12543086156511452
150,2CXO J002132.7+591438,3953,QSO,0.2615466877231239,0.18362380154189473,0.3530334675448312,0.06442294447039505,0.13737309871975517
197,2CXO J002402.0+043126,7914,YSO,0.27922773303953535,0.22206290912018758,0.1765549410876155,0.04212642261618873,0.2800279941364728
271,2CXO J002537.7-122803,10413,QSO,0.1694197286716511,0.15130184856013254,0.34557260670380413,0.09181048079199401,0.24189533527241822
300,2CXO J002808.5-753817,14390,HMXB,0.18369434489991526,0.2953546956735928,0.23388280832526093,0.04314687753414823,0.2439212735670829
308,2CXO J003228.4+394059,12991,QSO,0.24780394126639033,0.14943032939703244,0.41617808099042086,0.09356129846549574,0.09302634988066064
345,2CXO J003722.2-333351,2019,AGN,0.2831945043201403,0.08751050071776889,0.27763917538336746,0.12726278879087444,0.224393030787849
367,2CXO J003807.3-333606,9807,HMXB,0.20779258502530135,0.2916578092414519,0.2730052954125397,0.06760096635568986,0.1599433439650172
379,2CXO J003902.7+032013,4053,HMXB,0.12170220411410819,0.3476972160884071,0.29934961683075156,0.05910762766456494,0.1721433353021682
385,2CXO J003928.7+031218,11389,QSO,0.11396524177363379,0.31034695901103876,0.32852216740887424,0.03960716412700227,0.2075584676794509
404,2CXO J004125.8+405845,2899,AGN,0.27294197282283617,0.0994549881503458,0.27205387153572613,0.09635802511953925,0.2591911423715526
427,2CXO J004149.8+410106,15327,QSO,0.2417315791011693,0.1494227079234958,0.31626975544941843,0.11589530162512936,0.17668065590078713
439,2CXO J004203.1+404608,4536,QSO,0.33109314758384323,0.11394577074476045,0.4097684872123046,0.07578340413852552,0.06940919032056622
486,2CXO J004209.0+412048,14197,HMXB,0.1842917419394449,0.3410549476148474,0.2093065076620331,0.06112846516992141,0.20421833761375308
500,2CXO J004211.3+410428,12974,QSO,0.2554902433669268,0.191838843856589,0.3808447730804835,0.1070640710506142,0.06476206864538647
501,2CXO J004211.5-124907,11532,HMXB,0.17152062924883021,0.34842167030418364,0.16930716735643792,0.0936052823928492,0.2171452506976991
