,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
19,2CXO J000136.1+130639,8491,TTau*,0.1437865470762523,0.16795529987640354,0.1247429136731838,0.4416170683578785,0.12189817101628185
38,2CXO J000849.5+512514,8942,YSO,0.14419427278990588,0.22499944240998307,0.09464062192806723,0.18402506084239284,0.35214060202965103
55,2CXO J001211.5+523155,15318,HMXB,0.31582766810661717,0.2466489504470468,0.08151082070497713,0.09983522698617016,0.25617733375518875
68,2CXO J001331.0-193731,4945,YSO,0.1979333406283677,0.1777049376008629,0.2449695964677325,0.13339083663454723,0.2460012886684897
175,2CXO J002319.7+092055,14363,HMXB,0.36826088426806486,0.1445518766606222,0.13459964135853386,0.14172736475240286,0.21086023296037634
223,2CXO J002404.9-720451,2737,HMXB,0.4838087841561406,0.13289739572556564,0.21091354779419172,0.0750976013016009,0.09728267102250111
238,2CXO J002408.3-720431,2735,HMXB,0.3020987329883528,0.2164441569258275,0.22737143923080144,0.1206325276676317,0.1334531431873864
239,2CXO J002408.3-720431,2738,QSO,0.20496886625747715,0.17368389858892952,0.2239837350556971,0.20074725559308326,0.196616244504813
240,2CXO J002408.3-720431,2737,QSO,0.25363836853278965,0.11699312051129673,0.2827571218030784,0.20895268643977852,0.13765870271305672
262,2CXO J002506.2-122129,10413,QSO,0.20971264171110815,0.07546423930987098,0.38349313863132684,0.17806068858782984,0.1532692917598643
267,2CXO J002519.7-123303,10797,Orion_V*,0.14559785708323678,0.28121582554207664,0.1431021458094707,0.21808518298354987,0.21199898858166616
268,2CXO J002519.7-123303,3251,Orion_V*,0.17229273988737281,0.39854216633596873,0.08892031242584307,0.14885570141859955,0.1913890799322158
289,2CXO J002651.2+640342,10095,QSO,0.2531188936455332,0.05860953845270473,0.34790957194940747,0.24698236854840672,0.09337962740394784
298,2CXO J002756.6+261651,14012,HMXB,0.26608282117620163,0.22321222811524297,0.08960469264771073,0.22188474773465164,0.19921551032619314
365,2CXO J003802.3-504402,13493,HMXB,0.44653348912633195,0.14654825219168138,0.13137603514244164,0.13816406913104234,0.13737815440850273
369,2CXO J003818.8-505719,13493,QSO,0.3151145944120012,0.10781172501382856,0.4162449899806196,0.13379302653787414,0.02703566405567651
378,2CXO J003902.7+032013,11389,QSO,0.18821257673626837,0.15167396681772496,0.28965661699951756,0.12161517138659719,0.24884166805989175
400,2CXO J004115.3+410102,4536,QSO,0.1973963973370339,0.131375153289698,0.30972500358730604,0.18216645505972703,0.17933699072623485
401,2CXO J004120.7+410340,4536,QSO,0.17976935809456415,0.1082398263960271,0.5111751595162883,0.10321240061624065,0.09760325537687975
483,2CXO J004207.9+410436,2494,QSO,0.23950437865751595,0.17827333847504895,0.30338844291561184,0.10722588878188642,0.1716079511699367
502,2CXO J004211.5-124907,13925,QSO,0.282934490768076,0.10386096653596433,0.3511408023743767,0.10024271085338375,0.16182102946819923
1124,2CXO J004232.7+411310,14196,HMXB,0.6173126446538093,0.045933850349570586,0.19302316509058173,0.07404876606146825,0.06968157384457008
