,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
19,2CXO J000136.1+130639,8491,TTau*,0.13706454748093244,0.17232221422178426,0.10777530454343062,0.4384685131814395,0.14436942057241323
38,2CXO J000849.5+512514,8942,YSO,0.12259122816387254,0.24867137622102267,0.0841221192732855,0.15521107979379142,0.38940419654802777
55,2CXO J001211.5+523155,15318,HMXB,0.28075855453801263,0.2771664747606695,0.07484911748678139,0.10133627257961281,0.2658895806349236
68,2CXO J001331.0-193731,4945,YSO,0.1859699161987876,0.18921973543659654,0.21587322467152173,0.12963760445436734,0.27929951923872676
175,2CXO J002319.7+092055,14363,HMXB,0.3509221431429849,0.16127055696781603,0.1296628997073365,0.12866457895161987,0.22947982123024266
223,2CXO J002404.9-720451,2737,HMXB,0.48752986468202697,0.13629268288855081,0.20523621964302466,0.07865044488025708,0.09229078790614044
238,2CXO J002408.3-720431,2735,HMXB,0.2874945912237221,0.23815526061873785,0.1971769953734022,0.12729242683845354,0.14988072594568422
239,2CXO J002408.3-720431,2738,TTau*,0.21044686564863338,0.1873284187251956,0.19232519226294406,0.21211732642815018,0.19778219693507676
240,2CXO J002408.3-720431,2737,QSO,0.24023094341850956,0.13522477218408038,0.24524054424108627,0.22621540932185014,0.15308833083447382
262,2CXO J002506.2-122129,10413,QSO,0.20673208494603224,0.08202454598444484,0.35558155285527115,0.20159261959223362,0.15406919662201807
267,2CXO J002519.7-123303,10797,Orion_V*,0.13076779910468428,0.30693888316427537,0.13560280216498893,0.19116379790976307,0.23552671765628835
268,2CXO J002519.7-123303,3251,Orion_V*,0.15651043101232234,0.4331464438631028,0.0710320598091937,0.13994925663470065,0.19936180868068032
289,2CXO J002651.2+640342,10095,QSO,0.24192340400582454,0.06402923200272854,0.3326903015681815,0.26097755206526085,0.10037951035800458
298,2CXO J002756.6+261651,14012,Orion_V*,0.24793564267487048,0.2639221079158569,0.078786984130328,0.20621161640264346,0.2031436488763011
365,2CXO J003802.3-504402,13493,HMXB,0.4244042015975536,0.16304290046624326,0.12711648639235795,0.14036554465102766,0.14507086689281753
369,2CXO J003818.8-505719,13493,QSO,0.32623607203035926,0.12440566560663606,0.3801705773729694,0.14054216924525992,0.0286455157447753
378,2CXO J003902.7+032013,11389,QSO,0.17300532103579502,0.1652629060699766,0.2715355706260194,0.12030697027738774,0.26988923199082127
400,2CXO J004115.3+410102,4536,QSO,0.19146577709649043,0.14331778152665625,0.2788985905367047,0.1771574062473238,0.2091604445928249
401,2CXO J004120.7+410340,4536,QSO,0.18558204110257043,0.12588614400177525,0.48439093686242635,0.09786421007406645,0.10627666795916159
483,2CXO J004207.9+410436,2494,QSO,0.2383013243603113,0.18090734957321825,0.2818441268996939,0.09913872055195351,0.19980847861482287
502,2CXO J004211.5-124907,13925,QSO,0.294263918949886,0.11497785735844536,0.32959119411481347,0.09696002786875971,0.1642070017080954
1124,2CXO J004232.7+411310,14196,HMXB,0.6189879996154066,0.04913729711858106,0.18989862302783814,0.0726313674950796,0.06934471274309452
1308,2CXO J004241.8+405155,2017,HMXB,0.372456443739397,0.06771076478776861,0.2675225026133572,0.14529206304377024,0.14701822581570692
1507,2CXO J004245.9+411036,9523,HMXB,0.3154946550138168,0.21805785251961848,0.1601925739751148,0.10025462713333187,0.206000291358118
1873,2CXO J004257.9+411104,2897,YSO,0.2409566395038406,0.2431296275574129,0.14865371122686688,0.12291602308056654,0.244343998631313
1918,2CXO J004257.9+411104,10715,QSO,0.2508636926949554,0.1743700292047607,0.3373599588424755,0.13261154662339858,0.10479477263440995
2014,2CXO J004302.1+404446,2017,HMXB,0.27417253919071405,0.07713303886939891,0.26052029408439725,0.18873473962071524,0.19943938823477453
2331,2CXO J004426.0-203827,15094,QSO,0.14950760349146466,0.10752493862866555,0.41361703935111593,0.1865000102884097,0.14285040824034406
2353,2CXO J004501.6-203247,15093,QSO,0.12950783599880572,0.22912889528905933,0.33702281810326357,0.1548992415514598,0.1494412090574117
2357,2CXO J004510.5-730418,3904,YSO,0.10646602125320903,0.19637252699502766,0.08968842366578583,0.1746977471704164,0.43277528091556117
2375,2CXO J004715.8-252146,3931,QSO,0.2162799247429046,0.0048222362341208,0.7077832281489677,0.0703627932499998,0.0007518176240070852
2387,2CXO J004731.6-251506,3931,QSO,0.1890832271711017,0.0030367195057691885,0.746159662877334,0.06122490280567166,0.0004954876401234963
2396,2CXO J004733.5-251816,3931,QSO,0.2192773790592906,0.003175056141097885,0.7063272079147705,0.07071013284765598,0.000510224037184965
2401,2CXO J004737.2-251739,3931,QSO,0.1510200052855651,0.002394961369371513,0.7975186742971796,0.04866934352013946,0.0003970155277442957
2417,2CXO J004804.7+315325,12809,QSO,0.2662243342488641,0.11160814627565833,0.3878819509532186,0.10990659880363897,0.12437896971861992
2492,2CXO J005055.8-174703,9515,Orion_V*,0.1420853914621982,0.32524482602006316,0.0862806447317268,0.16363166149027483,0.28275747629573705
2512,2CXO J005122.1+474146,2056,HMXB,0.31626402659620356,0.22702883776857719,0.16017581854497004,0.13692504247217097,0.1596062746180784
2549,2CXO J005214.7+473701,2055,HMXB,0.45199839541390263,0.1363961384876592,0.14778592690854483,0.10688963161184686,0.1569299075780464
2645,2CXO J005759.9-272126,2245,HMXB,0.38845138935867574,0.227852920151729,0.11331574042518885,0.16177255224034698,0.10860739782405941
2707,2CXO J010055.7-215329,13443,QSO,0.1950226556257753,0.1271555179904707,0.3891276157270134,0.13410710354731734,0.1545871071094233
2729,2CXO J010112.9-214702,13442,Orion_V*,0.24913908667795412,0.2587240789353374,0.12711344349349538,0.15032015896871823,0.21470323192449478
2730,2CXO J010112.9-215701,13452,QSO,0.17734846574421315,0.0932867315434279,0.4336014139616583,0.17450516816398026,0.12125822058672042
2797,2CXO J010149.5-491920,14022,QSO,0.17979739780502346,0.12521913072894225,0.3354061338904553,0.127851843125412,0.23172549445016677
2814,2CXO J010205.9-221034,12177,HMXB,0.25512216987270275,0.1334047326714523,0.19389389349748337,0.19575990121103293,0.22181930274732875
2862,2CXO J010229.9-492426,14023,HMXB,0.3394435794700017,0.16459726138878705,0.27153506461199817,0.06919338934305416,0.15523070518615892
2867,2CXO J010238.9-704648,4529,QSO,0.20536287150034907,0.11990830790504185,0.329415274012813,0.15434427977599452,0.19096926680580167
2901,2CXO J010258.8-705453,4529,QSO,0.24599438477116123,0.053602490739296564,0.34225737144669116,0.13756363387959641,0.22058211916325457
2915,2CXO J010308.6-704219,4529,QSO,0.23036842151828993,0.09271135157343299,0.2824314068359818,0.1289578845719128,0.2655309355003825
2917,2CXO J010310.6-720323,1542,Orion_V*,0.17331402388802564,0.315124757310793,0.08870504467689895,0.18902259656647566,0.23383357755780668
2973,2CXO J010317.3-720913,5141,HMXB,0.7507939223329787,0.04295355389276205,0.1164907371957569,0.04065549658408306,0.04910628999441939
3076,2CXO J010339.2-704429,4529,YSO,0.12016795331359491,0.11799368336753731,0.3035852562164923,0.15258620088366123,0.3056669062187143
3084,2CXO J010343.8-215358,2203,QSO,0.3680056358047653,0.004146015111922592,0.5053188207010608,0.12179963771152137,0.0007298906707299695
3087,2CXO J010345.7-220147,13451,QSO,0.2040652202087401,0.11092169913559112,0.36354515315370894,0.1485240466968427,0.17294388080511724
3133,2CXO J010426.3-214027,13448,HMXB,0.3047736696896972,0.17236285497612194,0.21874166503974687,0.17097455723209293,0.13314725306234104
3139,2CXO J010435.4-704101,4529,QSO,0.18939468710302074,0.1920908394179888,0.29391845423380314,0.16943303389513248,0.15516298535005482
