,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
936,2CXO J004228.2+411222,9521,YSO,0.18232113264799993,0.23895401095267316,0.24837551144727466,0.07295710853868405,0.2573922364133682
1010,2CXO J004231.1+411621,14198,Radio,0.13600349730382266,0.17675022044253016,0.25090628933380343,0.24295272496110312,0.19338726795874045
1474,2CXO J004245.1+411621,13827,Radio,0.1884504868438452,0.20915814311242806,0.24594759149150242,0.1306227795705978,0.22582099898162655
1496,2CXO J004245.9+411036,10552,Radio,0.17573883747967886,0.2218719933441832,0.25217584830748274,0.11133143394851283,0.23888188692014242
1689,2CXO J004248.5+411521,14929,Seyfert_2,0.12085903121212291,0.14606981716910175,0.26158956302316255,0.31663982067896007,0.1548417679166526
1695,2CXO J004248.5+411521,10552,Radio,0.14771141639086105,0.18055140126584243,0.3073577812725697,0.18807659728427348,0.1763028037864534
1852,2CXO J004254.9+411603,9521,Radio,0.1839109107994337,0.21697457931335867,0.24704538946618976,0.1255343833837585,0.22653473703725951
2231,2CXO J004332.3+411040,13826,Seyfert_2,0.09657341302543695,0.12831628160302067,0.1544482585396281,0.4829548716959373,0.13770717513597708
2287,2CXO J004349.2-202614,16366,Radio,0.1919009737783632,0.21825806607729323,0.25668788935204084,0.0770865897367429,0.25606648105555974
2373,2CXO J004711.0-252332,3931,YSO,0.19435473864435004,0.25672700407679,0.25722462817784975,0.015346189424267855,0.27634743967674247
2389,2CXO J004732.3-251744,3931,YSO,0.19345131817976446,0.2554570581222097,0.2560561476964069,0.020302408096069716,0.2747330679055492
2402,2CXO J004740.6-251412,3931,YSO,0.19428094086785094,0.2564027677043413,0.2570623554917185,0.015247300527204648,0.27700663540888465
2407,2CXO J004743.0-251322,3931,YSO,0.1935976277900663,0.255647767623422,0.25624418722805253,0.01959333470596305,0.27491708265249604
2413,2CXO J004748.8-251250,3931,YSO,0.1935231474512326,0.2555249223234019,0.25613469572338277,0.01999923846968747,0.2748179960322953
2545,2CXO J005210.0+563130,5424,YSO,0.18861880152238547,0.2417536564659801,0.25712732848359354,0.05130953894020718,0.2611906745878338
2643,2CXO J005758.4-722228,15504,YSO,0.19821724940363497,0.2342615670033,0.24631247290837405,0.06929686098446446,0.25191184970022656
2649,2CXO J005816.8-721805,13773,Radio,0.17604933400913522,0.21761913163910276,0.25914083455919834,0.11413685593611946,0.23305384385644431
2812,2CXO J010202.5-212751,13444,Radio,0.17474205394811648,0.2279143066271722,0.24559730538476074,0.10727144383900011,0.24447489020095042
3372,2CXO J013259.9+302104,7170,YSO,0.17973031552151147,0.22107821282707277,0.22970132865373505,0.1318586644838021,0.2376314785138786
3725,2CXO J020537.9+644941,3832,YSO,0.19123113384171306,0.25117255385218634,0.2596141101581307,0.028017244308291497,0.2699649578396784
3726,2CXO J020537.9+644941,4383,Radio,0.16638114795980422,0.21573717954250712,0.22529676551574734,0.17147474455091732,0.22111016243102397
3767,2CXO J020920.7-100801,923,Seyfert_2,0.1301507267844347,0.1646337392361419,0.1891245976827428,0.33930779583486004,0.17678314046182045
3772,2CXO J020924.5-100811,923,YSO,0.1660049260097295,0.2170886030587906,0.23143668970574097,0.15196056338414576,0.23350921784159326
3858,2CXO J022123.1+421722,4613,Radio,0.20034566535758208,0.24396317561046346,0.2699371508368599,0.023826944611606483,0.26192706358348794
3901,2CXO J022458.1+621401,5890,Radio,0.18398624212771494,0.24289951841116691,0.2736294615719287,0.033975841783449943,0.2655089361057395
4203,2CXO J031215.4+011638,11887,Radio,0.16616568493324627,0.21711610304958956,0.2665300889139205,0.12544667037951915,0.22474145272372448
4273,2CXO J031813.5+415212,3237,Radio,0.17884533745120335,0.2267341219920758,0.27471436806301586,0.07603430558534392,0.243671866908361
4305,2CXO J031902.6+413916,4952,YSO,0.18169795691380597,0.24726537683312533,0.2533932216656429,0.06246538891073206,0.25517805567669394
4317,2CXO J031921.1+413119,6145,YSO,0.191440824462087,0.252740637424993,0.2576568850699585,0.023891915545786898,0.2742697374971746
4363,2CXO J031948.1+413046,12036,Seyfert_2,0.09454267499846823,0.12450291637054256,0.12801877641641615,0.5199772503817353,0.1329583818328377
4364,2CXO J031948.1+413046,11713,Seyfert_2,0.08815607899270016,0.11632751090533647,0.11946221460254593,0.5522730273237956,0.12378116817562194
4382,2CXO J031948.7+413047,12036,Seyfert_2,0.09454267499846823,0.12450291637054256,0.12801877641641615,0.5199772503817353,0.1329583818328377
4383,2CXO J031948.7+413047,11713,Seyfert_2,0.08815607899270016,0.11632751090533647,0.11946221460254593,0.5522730273237956,0.12378116817562194
4420,2CXO J032623.2-211015,4372,YSO,0.181677754619419,0.2383956018364893,0.2410725153061875,0.08193399622670698,0.25692013201119723
4624,2CXO J033224.5-272932,9596,YSO,0.18991659866252641,0.2519142456846303,0.26396451345328625,0.025702570086960204,0.26850207211259697
5156,2CXO J034419.7+315918,8944,YSO,0.18887375509614765,0.248095737155723,0.2666842051243311,0.029441721160825555,0.2669045814629727
5370,2CXO J041120.7-282410,4106,YSO,0.1914715467366432,0.25213566064921017,0.260182911609144,0.025488850607014515,0.2707210303979883
5535,2CXO J042958.7+643936,782,YSO,0.194489216822069,0.25678225941364596,0.2572775327692498,0.015182848870537955,0.2762681421244973
5547,2CXO J043014.6+351612,5428,Radio,0.18011390576272437,0.23776399180737479,0.2669521895871546,0.05883120412708935,0.25633870871565695
5715,2CXO J044958.5+450144,2218,YSO,0.17989587158064063,0.23196253609622558,0.244151566372721,0.0967148888987363,0.2472751370516765
5750,2CXO J045405.5-031303,902,YSO,0.17957395688878006,0.23411341770601607,0.24250700571565864,0.09238238640673566,0.25142323328280963
5838,2CXO J050525.5-673857,3876,YSO,0.19449987692080264,0.25679902647350733,0.2573977703237321,0.01515084609851252,0.2761524801834455
5841,2CXO J050529.6-645621,3946,Seyfert_2,0.14584558087254418,0.17104287623139625,0.2088307984324567,0.27874830761043473,0.19553243685316823
6759,2CXO J053511.5-052447,4374,YSO,0.1731433738625928,0.2270950323051319,0.232302640030702,0.099934633597166,0.2675243202044073
7078,2CXO J053514.9-052339,15546,Radio,0.17333954394219536,0.2154305043234842,0.26919449439934023,0.10088789937318382,0.24114755796179627
7279,2CXO J053515.9-052352,4395,YSO,0.19397641829790854,0.25351265096166953,0.2559187854138421,0.019167876635401856,0.2774242686911778
7319,2CXO J053516.2-052210,4396,YSO,0.18841356218574523,0.24872701949491607,0.2637663473615556,0.028572872266991366,0.2705201986907919
7460,2CXO J053517.2-052316,13637,YSO,0.18839893519159037,0.2451452226942691,0.25072750043405045,0.04065567245028155,0.2750726692298085
8704,2CXO J053649.8-691627,1967,YSO,0.19319626494169959,0.25511271024121285,0.25563679260646177,0.021747413637687566,0.2743068185729382
8712,2CXO J053657.1-691328,1967,YSO,0.19377409531473463,0.2591662727594785,0.25632407890345155,0.015245247061878114,0.27549030596045726
8751,2CXO J053747.4-691019,17414,Seyfert_2,0.15157365164209324,0.21389556304936377,0.20521537363956455,0.2183693456825454,0.21094606598643306
8753,2CXO J053747.4-691019,16193,YSO,0.16595512499893025,0.23684360431064302,0.2191962991911127,0.12538117447817676,0.25262379702113724
