,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
936,2CXO J004228.2+411222,9521,Pulsar,0.18344111686140738,0.2478004954805614,0.24520357753675243,0.09891214301135515,0.22464266710992378
1010,2CXO J004231.1+411621,14198,Seyfert_2,0.11941478660905809,0.16132443775141234,0.22158057097195757,0.34434336721172526,0.15333683745584664
1474,2CXO J004245.1+411621,13827,Radio,0.1720413005369438,0.2183683669486991,0.23646114630354886,0.1775763242799279,0.19555286193088034
1496,2CXO J004245.9+411036,10552,Radio,0.17501516209466716,0.23012234796354192,0.23607378427887937,0.15244286808484186,0.20634583757806968
1689,2CXO J004248.5+411521,14929,Seyfert_2,0.10372373380992025,0.1382013077828547,0.23829179111258747,0.39820551890779965,0.12157764838683806
1695,2CXO J004248.5+411521,10552,Radio,0.13626297785862138,0.17307359291222002,0.28259142603710297,0.25637558040380753,0.15169642278824808
1852,2CXO J004254.9+411603,9521,Pulsar,0.16935425828701636,0.2328626987605699,0.22478825748576536,0.17627742585302225,0.1967173596136262
2231,2CXO J004332.3+411040,13826,Seyfert_2,0.08033750558734498,0.10416370938441459,0.1321730052746571,0.5839811389428036,0.09934464081077968
2287,2CXO J004349.2-202614,16366,Radio,0.1890075551579123,0.22654321058579144,0.25322072649487526,0.10781527050073177,0.22341323726068926
2373,2CXO J004711.0-252332,3931,Pulsar,0.20134840539793084,0.26490438803415783,0.2641952638088895,0.020599142075587502,0.24895280068343434
2389,2CXO J004732.3-251744,3931,Pulsar,0.19585235534793247,0.2684938238012423,0.25879593450807764,0.029962500137899764,0.24689538620484772
2402,2CXO J004740.6-251412,3931,Radio,0.19547259619540477,0.2646183135021169,0.26923458681874846,0.02050907208563338,0.2501654313980965
2407,2CXO J004743.0-251322,3931,Pulsar,0.19601077350464258,0.2701896315117526,0.2583521012619174,0.028005904178028534,0.24744158954365886
2413,2CXO J004748.8-251250,3931,Pulsar,0.1955349048187745,0.268560475724616,0.25923588718335905,0.028419467523521258,0.24824926474972908
2545,2CXO J005210.0+563130,5424,Pulsar,0.19413878413652244,0.2555640826600471,0.2451654268141437,0.07425451168741161,0.23087719470187512
2643,2CXO J005758.4-722228,15504,Radio,0.19581565905065043,0.23696725163978946,0.24141510624837875,0.10072241817481543,0.22507956488636596
2649,2CXO J005816.8-721805,13773,Radio,0.1665167841086437,0.22641954269600986,0.2487546221173776,0.16246067899999042,0.19584837207797848
2812,2CXO J010202.5-212751,13444,Pulsar,0.16639919601433747,0.23717666851767227,0.23543450640125135,0.1531160232298408,0.20787360583689823
3372,2CXO J013259.9+302104,7170,Radio,0.16998348787492382,0.2258108092098471,0.22643001639587645,0.17171666590181178,0.2060590206175408
3725,2CXO J020537.9+644941,3832,Radio,0.20143401391878082,0.2552123479953867,0.2628622310717498,0.03907428588295013,0.24141712113113245
3726,2CXO J020537.9+644941,4383,Seyfert_2,0.16016621819638507,0.22087498886238272,0.20797686779077543,0.22524135581973037,0.18574056933072652
3767,2CXO J020920.7-100801,923,Seyfert_2,0.11525221501156532,0.1570104317197258,0.1680863082031849,0.41721160585038725,0.14243943921513666
3772,2CXO J020924.5-100811,923,Radio,0.1619703807031982,0.22077963343413537,0.2213917728677788,0.1975237906566776,0.19833442233821003
