,angDist,main_type,col1,ra.1,dec.1,obsid,name,cluster,silhouette_prob,silhouette
0,0.387334,QSO,0,0.0123175645113065,-35.0590684379273,15712,2CXO J000002.9-350332,2,0.5125188431877676,0.0250376863755352
1,1.612879,AGN,3,0.1062457877249016,-24.905299695823373,13394,2CXO J000025.4-245419,3,0.5470991116363934,0.0941982232727867
2,1.225589,IG,8,0.1297210125136416,-50.15397038136575,11997,2CXO J000031.1-500914,5,0.5426837683887846,0.0853675367775693
3,1.579684,EmG,9,0.1327731853477871,-24.91620991322102,13394,2CXO J000031.8-245458,2,0.5488947459343642,0.0977894918687284
5,0.575115,Galaxy,15,0.2498744968336268,-57.8092431224058,9335,2CXO J000059.9-574833,5,0.5826980751508547,0.1653961503017094
7,0.851327,AGN,16,0.2509150097275778,-25.08345475229845,13394,2CXO J000100.2-250500,5,0.5550006864499124,0.1100013728998248
8,0.846119,Seyfert_1,17,0.2602155272117556,-24.980147114323174,13394,2CXO J000102.4-245848,2,0.6132561112290518,0.2265122224581035
9,2.724371,Star,23,0.4004398019434347,13.110959521781387,6978,2CXO J000136.1+130639,4,0.6653224792915615,0.330644958583123
10,2.724371,Star,24,0.4004398019434347,13.110959521781387,8491,2CXO J000136.1+130639,5,0.5345816683821439,0.0691633367642877
11,1.277163,PM*,31,0.6869340038903147,-35.88375143497054,6974,2CXO J000244.8-355301,4,0.7623193682094491,0.5246387364188984
12,0.635291,QSO,47,1.594324511113598,-0.07357303251626,4096,2CXO J000622.6-000424,3,0.6053630881277257,0.2107261762554513
13,0.635291,QSO,48,1.594324511113598,-0.07357303251626,5617,2CXO J000622.6-000424,5,0.6326729422687452,0.2653458845374902
14,0.403539,X,53,1.9182412225255236,73.11362672119465,3835,2CXO J000740.3+730649,5,0.5384440466580946,0.0768880933161893
15,0.218098,RadioG,62,2.398228967065449,-32.27692614775548,5783,2CXO J000935.5-321636,3,0.5663700025834603,0.1327400051669205
16,0.474414,Galaxy,63,2.472536606305937,25.923870408962717,10401,2CXO J000953.4+255525,2,0.5769435345106504,0.1538870690213007
17,0.891188,Cl*,69,2.777335117402572,-12.107624782367504,15061,2CXO J001106.5-120627,2,0.5851953030502014,0.1703906061004028
27,0.974862,Radio,82,3.064905906556703,72.53605588783509,4481,2CXO J001215.5+723209,5,0.5760613805168531,0.1521227610337062
28,0.613664,QSO,84,3.1676722859841675,-30.373963338812285,8557,2CXO J001240.2-302226,2,0.5902462172417364,0.1804924344834728
29,0.613664,QSO,85,3.1676722859841675,-30.373963338812285,8477,2CXO J001240.2-302226,5,0.6416859762745226,0.2833719525490453
30,0.524965,X,95,3.319410821347617,-19.533805445374583,4945,2CXO J001316.6-193201,5,0.5185358167957557,0.0370716335915113
31,0.220943,Star,96,3.327427764324568,-27.25419271761785,5038,2CXO J001318.5-271515,2,0.5394666819915886,0.0789333639831773
32,0.178026,Seyfert_1,101,3.3796900808187047,40.86036510136215,5669,2CXO J001331.1+405137,2,0.5292083289194827,0.0584166578389652
33,2.439917,Seyfert_1,104,3.384963829145306,-27.43636795893479,5038,2CXO J001332.3-272610,0,0.5117163089282133,0.0234326178564266
34,0.786607,Galaxy,116,3.465956437036027,-30.49862219020347,8477,2CXO J001351.8-302955,5,0.5522534587613485,0.1045069175226968
35,2.470829,EmG,119,3.4998217583217297,-39.05100374550116,2255,2CXO J001359.9-390303,2,0.5495178458829597,0.0990356917659194
36,1.103212,HMXB,128,3.5803507564318693,-39.18728928547318,4744,2CXO J001419.2-391114,5,0.5804847456408225,0.160969491281645
37,0.226719,QSO,130,3.6011569228702456,-30.251396759954567,2212,2CXO J001424.2-301505,2,0.513637843302172,0.027275686604344
38,0.078067,GinCl,132,3.610668688068472,-30.395607684166283,8557,2CXO J001426.5-302344,3,0.5278707227482933,0.0557414454965866
39,0.078067,GinCl,133,3.610668688068472,-30.395607684166283,8477,2CXO J001426.5-302344,3,0.6005877631912113,0.2011755263824225
40,0.19655,Galaxy,136,3.6301757764765625,-30.377540846267816,2212,2CXO J001431.2-302239,5,0.6583154396980893,0.3166308793961784
41,0.680013,LMXB,141,3.6858434961676494,-39.1933316034426,2255,2CXO J001444.6-391135,0,0.5177283671764662,0.0354567343529323
42,1.539179,AGN,144,3.7041166944595143,-39.3751906142036,2255,2CXO J001448.9-392230,0,0.5048163834151923,0.0096327668303846
43,0.97871,LMXB,146,3.7165809225895146,-39.17922324075287,4744,2CXO J001451.9-391045,5,0.5673894275951092,0.1347788551902185
44,0.566193,LMXB,148,3.737501580098126,-39.194222948152266,2255,2CXO J001457.0-391139,0,0.4994965229484421,-0.0010069541031156
45,0.668087,QSO,150,3.768150804579591,-0.911071399662094,16228,2CXO J001504.3-005439,3,0.5247569324442276,0.0495138648884551
46,0.416234,Galaxy,151,3.784178336703121,-30.252089295417868,2212,2CXO J001508.2-301507,3,0.5255573935868704,0.0511147871737406
47,0.313131,ULX,158,3.870421038101142,-39.22182252531879,2255,2CXO J001528.9-391318,2,0.5180192386167927,0.0360384772335852
48,0.658855,AGN,159,3.876323418060053,-39.12088064684213,2255,2CXO J001530.3-390715,0,0.624139142851091,0.2482782857021818
49,0.17132,LMXB,160,3.892931425939707,-39.24025882992115,2255,2CXO J001534.3-391424,2,0.5304822975383258,0.0609645950766516
51,0.311033,HMXB,161,3.934759643551899,-39.20248381996737,2255,2CXO J001544.3-391208,5,0.57884729170972,0.15769458341944
52,0.472658,Candidate_HMXB,162,3.951250718731501,-39.310972781804594,2255,2CXO J001548.3-391839,5,0.6029477824005098,0.2058955648010196
53,1.262354,EmG,163,3.9713369614663065,-0.9532674794749324,16228,2CXO J001553.1-005711,5,0.531615660508895,0.0632313210177898
54,1.678887,EmG,164,3.977730649821126,-27.378883146824634,5039,2CXO J001554.6-272243,2,0.5455976269384526,0.0911952538769053
55,1.056391,ClG,168,4.1294467513283735,79.28055258425788,4363,2CXO J001631.0+791649,5,0.5743841682937179,0.1487683365874358
57,1.056391,ClG,169,4.1294467513283735,79.28055258425788,3009,2CXO J001631.0+791649,5,0.5586927100344898,0.1173854200689796
59,0.793145,QSO,172,4.258715028061658,32.15586512014069,2987,2CXO J001702.0+320921,3,0.5537229119456308,0.1074458238912616
60,0.481906,AGN,175,4.5426525102209325,16.53983904897961,520,2CXO J001810.2+163223,3,0.5893644264184857,0.1787288528369715
61,1.263571,Radio,182,4.630590872356322,16.345084264772492,520,2CXO J001831.3+162042,3,0.5123963044097832,0.0247926088195664
64,0.30244,QSO,183,4.633406568946555,16.490426566789854,520,2CXO J001832.0+162925,2,0.5799529773242174,0.1599059546484347
65,0.258711,QSO,184,4.63933293214717,16.531578510154407,520,2CXO J001833.4+163153,3,0.4799052229705868,-0.0401895540588262
66,1.404712,AGN,186,4.690426378666189,16.56276776132533,520,2CXO J001845.7+163345,5,0.5193064776562092,0.0386129553124182
67,0.481527,EmG,187,4.71194402747426,-10.37676680848996,13823,2CXO J001850.8-102236,2,0.5526131713591204,0.1052263427182408
68,0.511425,QSO,190,4.749188501429217,16.44689881814072,520,2CXO J001859.8+162648,2,0.4796869393158881,-0.0406261213682237
69,0.514812,EB*,194,4.828250376335177,59.13892124560537,11084,2CXO J001918.7+590820,3,0.5319964580307752,0.0639929160615505
70,0.514812,EB*,195,4.828250376335177,59.13892124560537,11080,2CXO J001918.7+590820,4,0.7029254881092264,0.4058509762184527
71,0.514812,EB*,196,4.828250376335177,59.13892124560537,11081,2CXO J001918.7+590820,4,0.7318266748968402,0.4636533497936804
72,1.181636,Seyfert_1,198,4.976495803455521,15.961544994199,1595,2CXO J001954.3+155741,4,0.6969864660220095,0.3939729320440189
73,0.057751,Star,200,5.052812236061584,59.25037701500526,7082,2CXO J002012.6+591501,0,0.5057424257377326,0.0114848514754652
74,0.057751,Star,201,5.052812236061584,59.25037701500526,8458,2CXO J002012.6+591501,0,0.5882158953909888,0.1764317907819776
75,0.107517,Em*,203,5.087235066619144,59.2997766792234,3953,2CXO J002020.9+591759,0,0.5184148504323269,0.0368297008646539
78,0.11699,HMXB,214,5.121267209387213,59.281071023154105,7082,2CXO J002029.1+591651,1,0.5166147202994288,0.0332294405988575
86,0.11699,HMXB,215,5.121267209387213,59.281071023154105,8458,2CXO J002029.1+591651,1,0.5403771738955728,0.0807543477911455
94,0.11699,HMXB,216,5.121267209387213,59.281071023154105,11082,2CXO J002029.1+591651,1,0.5780991704442306,0.1561983408884614
102,0.424962,QSO,219,5.2783704866853896,0.9454791756845357,13014,2CXO J002106.8+005643,5,0.6350738864155328,0.2701477728310654
103,0.21637,QSO,222,5.3054123150529335,-2.021014236464896,3017,2CXO J002113.2-020115,3,0.5637475838067745,0.1274951676135488
104,0.218748,Seyfert_1,224,5.358290911081667,0.752874147674479,13014,2CXO J002125.9+004510,2,0.5029310810730184,0.0058621621460367
105,0.292164,QSO,226,5.420824365998669,0.6448880758490273,5649,2CXO J002140.9+003841,5,0.6102125095095366,0.2204250190190733
106,0.292164,QSO,227,5.420824365998669,0.6448880758490273,13014,2CXO J002140.9+003841,3,0.5706547352457932,0.1413094704915864
107,0.118618,Seyfert_1,228,5.541512595281802,0.2747925844235087,2252,2CXO J002209.9+001629,4,0.6320828834848147,0.2641657669696292
108,0.754749,X,229,5.595313808571916,0.1807672321410958,2252,2CXO J002222.8+001050,3,0.5829482443628902,0.1658964887257803
109,0.082634,QSO,230,5.632224616764404,0.4274785061329093,2252,2CXO J002231.7+002538,5,0.626530505805454,0.2530610116109079
111,0.215334,QSO,231,5.649851025917371,0.313959589183744,2252,2CXO J002235.9+001850,3,0.556781203853539,0.113562407707078
113,0.491239,QSO,235,5.688832604518211,0.4895249425053263,2252,2CXO J002245.3+002922,2,0.5445355324525741,0.0890710649051481
114,0.561272,QSO,236,5.703175347427191,0.2551895706246035,2252,2CXO J002248.7+001518,5,0.6039816316142677,0.2079632632285352
115,1.321061,Star,248,5.81729190193613,-72.12594059754775,2738,2CXO J002316.1-720733,5,0.5526360334300471,0.1052720668600942
116,1.321061,Star,249,5.81729190193613,-72.12594059754775,2735,2CXO J002316.1-720733,5,0.6094796031181979,0.2189592062363957
117,1.321061,Star,250,5.81729190193613,-72.12594059754775,2737,2CXO J002316.1-720733,5,0.604278111394373,0.208556222788746
118,1.321061,Star,251,5.81729190193613,-72.12594059754775,2736,2CXO J002316.1-720733,2,0.4808445210649785,-0.0383109578700429
119,0.507571,Star,252,5.832284730478534,9.348721402963433,14363,2CXO J002319.7+092055,2,0.551950493342759,0.103900986685518
120,2.042192,QSO,253,5.8753423336292485,0.3936331963696969,2252,2CXO J002330.0+002337,2,0.5164491763595715,0.0328983527191431
121,0.185372,AGN_Candidate,255,5.878169734633218,-72.34542654362319,955,2CXO J002330.7-722043,3,0.5199845620892831,0.0399691241785661
122,0.185372,AGN_Candidate,256,5.878169734633218,-72.34542654362319,953,2CXO J002330.7-722043,4,0.6708330070056095,0.3416660140112191
123,1.896104,X,262,5.9064812794403,4.283395703676384,7914,2CXO J002337.5+041700,3,0.6359674380146226,0.2719348760292452
124,0.360361,QSO,265,5.908970291315882,4.283417315405741,7914,2CXO J002338.1+041700,5,0.5894671100681773,0.1789342201363545
125,0.307754,QSO,266,5.926641821018279,0.3449695503456806,2252,2CXO J002342.3+002041,0,0.5571200056562853,0.1142400113125706
126,0.13632,LMXB,276,6.004075250301412,-72.08147449184482,956,2CXO J002400.9-720453,2,0.5125003846550557,0.0250007693101112
127,0.13632,LMXB,277,6.004075250301412,-72.08147449184482,955,2CXO J002400.9-720453,4,0.7339449728662446,0.4678899457324891
128,0.13632,LMXB,278,6.004075250301412,-72.08147449184482,953,2CXO J002400.9-720453,4,0.738519460224041,0.4770389204480819
