,name,obsid,main_type,AGN,Candidate_XB*,Orion_V*,QSO,YSO
1,2CXO J000010.0-501526,11997,AGN,0.3046532964631297,0.024556582504485176,0.19485790995746674,0.29913140614184064,0.17680080493307768
2,2CXO J000019.8-245030,13394,AGN,0.47403981560265956,0.00039915895647257995,0.050325163681907724,0.3935683840531091,0.081667477705851
4,2CXO J000027.4-500421,11997,Orion_V*,0.2490851684017327,0.06787736344895856,0.29588377383306713,0.2817900625294968,0.10536363178674489
5,2CXO J000027.4-500421,11742,AGN,0.5470831861018053,0.014146290889643235,0.13229798400280302,0.12071699349107248,0.18575554551467607
9,2CXO J000047.6-551937,7061,AGN,0.4580015706496114,0.0004891966578312146,0.05726297173161536,0.30896113674035075,0.17528512422059123
10,2CXO J000058.9-245449,13394,AGN,0.4044632439442307,0.011903020577668164,0.10555004380167696,0.2656861181134368,0.21239757356298727
14,2CXO J000107.7-501348,11997,AGN,0.35526546485378924,0.04141085556888393,0.12704428723475855,0.3403264652841391,0.13595292705842937
15,2CXO J000109.1-245614,13394,AGN,0.3287533600118774,0.04530263052884973,0.15511847031607334,0.14928998877924185,0.32153555036395765
20,2CXO J000144.7+131150,8491,QSO,0.2243796943464906,0.10703060840442531,0.1883693697189405,0.25002509521309796,0.23019523231704556
21,2CXO J000144.7+131150,6978,QSO,0.260090510981122,0.08983828507147534,0.17609041817997295,0.2738331748058641,0.20014761096156566
24,2CXO J000246.9-354603,6973,AGN,0.3437448458701834,0.043843149853964536,0.18863911183121765,0.1623752902926397,0.26139760215199476
25,2CXO J000255.7-353710,6973,YSO,0.2201462257459221,0.039367311180670994,0.22661811029340925,0.2506861309944952,0.2631822217855025
26,2CXO J000313.6+161956,11309,AGN,0.481673401198194,0.002579828152151718,0.07020014852077452,0.28317694524766657,0.1623696768812131
28,2CXO J000329.1-354446,6973,AGN,0.3138668036267174,0.026026483974511624,0.1968975247122613,0.2758559748224033,0.18735321286410625
29,2CXO J000442.7+725819,3835,AGN,0.31436884100266804,0.012493955239176244,0.17714318678614444,0.24859006468792283,0.24740395228408837
30,2CXO J000607.5+110144,12251,AGN,0.3166060001481453,0.051217848121295706,0.2193508926265019,0.28368410872392275,0.1291411503801345
33,2CXO J000629.4+725908,3835,AGN,0.37353324621130407,0.022681745548022977,0.10079012555447148,0.21426609979533282,0.2887287828908687
34,2CXO J000633.9+104922,12251,YSO,0.27526810777643085,0.052305284083655604,0.1082039730640271,0.2436874552027505,0.320535179873136
35,2CXO J000701.5+730308,3835,Orion_V*,0.18818088177317807,0.19905389054086609,0.28149703064775217,0.1897059798811804,0.14156221715702327
36,2CXO J000740.3+730649,3835,YSO,0.23651690919264945,0.06721387238364407,0.16908705566352686,0.2285379250341307,0.2986442377260487
41,2CXO J000957.7+255347,10401,QSO,0.31767342407109134,0.06786286100098321,0.10933956622950274,0.3630158480557298,0.142108300642693
42,2CXO J001004.5-250924,9547,YSO,0.13575572483365872,0.015460447217166362,0.3567447914661374,0.01642913759871357,0.475609898884324
43,2CXO J001014.9+524055,15318,AGN,0.3192751919757038,0.011004960125439972,0.16742629680386856,0.28952658223089633,0.21276696886409135
45,2CXO J001034.0-250449,9547,QSO,0.16013168878047168,0.14311456403864778,0.16814548431166434,0.2910097693080592,0.23759849356115703
47,2CXO J001125.6-152319,3261,QSO,0.2002131228423827,0.17120776061351162,0.18828246937063095,0.2412304854516608,0.19906616172181388
48,2CXO J001129.3-151828,6105,AGN,0.3475399867053957,0.03819579969221557,0.1210379695143475,0.21774711759719018,0.2754791264908511
49,2CXO J001131.6-152320,6105,YSO,0.20402579331873716,0.17884121242860795,0.1679230676948385,0.1862506796046693,0.26295924695314704
50,2CXO J001131.6-152320,3261,YSO,0.20896347429518286,0.16605768732817028,0.22950258297390705,0.1236851583691511,0.27179109703358867
51,2CXO J001139.9-152340,6105,Orion_V*,0.1816570004044586,0.07150488419342403,0.3398932972515782,0.21840304583414533,0.18854177231639388
52,2CXO J001144.5-151553,6105,AGN,0.2572603532399802,0.048674557920795385,0.1900213477978285,0.2546586976344283,0.2493850434069677
53,2CXO J001144.7-153224,3261,QSO,0.2311366130928348,0.030925606701613192,0.13927029622240467,0.44372361227897816,0.15494387170416926
54,2CXO J001210.7-271208,5038,AGN,0.35996508518296316,0.005662419707716635,0.21132010173758506,0.3109933715062789,0.11205902186545622
56,2CXO J001212.1-271011,5038,QSO,0.2533568762112766,0.03480616220530507,0.189166485249443,0.3262130673244365,0.19645740900953876
61,2CXO J001248.0-303218,8477,AGN,0.5180188027027761,0.001359018627644446,0.0807804556873692,0.2208290473545471,0.17901267562766307
62,2CXO J001300.5-270751,5038,QSO,0.21367431979159238,0.1822017348433654,0.1433253340226549,0.25724948896396876,0.2035491223784185
64,2CXO J001309.2-272635,5038,QSO,0.24823401375178028,0.10084455332407993,0.1779004491812895,0.30928123323740225,0.1637397505054479
65,2CXO J001316.6-193201,4945,AGN,0.28185524123503564,0.07316055203427275,0.2518232761725098,0.24418331388747955,0.14897761667070214
66,2CXO J001318.5-271515,5038,QSO,0.22387766178689614,0.2198693271379393,0.1601939082502407,0.2781929196432738,0.11786618318164994
67,2CXO J001327.8-272242,5038,AGN,0.35278356009013734,0.02510349063269197,0.24625379073317996,0.23183043087671898,0.14402872766727173
70,2CXO J001331.4-270742,5038,AGN,0.3549318682341945,0.04780235728921478,0.1321732186802348,0.31755043042387826,0.14754212537247763
71,2CXO J001331.8-272206,5038,AGN,0.35863789025600074,0.026822181933222604,0.17262578821606092,0.08965618952481026,0.35225795006990557
73,2CXO J001342.8-192156,4945,QSO,0.2889845399818011,0.018434110024346983,0.158576155333134,0.3474342661843438,0.18657092847637405
74,2CXO J001345.9-192111,4945,AGN,0.3747951122156555,0.012387978604014922,0.17778717186722234,0.23721369802328973,0.19781603928981759
75,2CXO J001350.1+792651,3009,AGN,0.29461644191379144,0.009432907426221798,0.20689390365770136,0.2593727309129244,0.22968401608936095
76,2CXO J001351.5-302500,7915,QSO,0.23383591600272907,0.16966343718368726,0.15839207641287903,0.28099363117073517,0.1571149392299695
78,2CXO J001351.9-493956,13471,QSO,0.22053485576383436,0.011581162059502312,0.2105125408334892,0.35529076723896397,0.20208067410421032
80,2CXO J001400.8-493633,13471,QSO,0.36399318232572053,0.0005667458533296846,0.06549234141297756,0.37382859200534374,0.19611913840262843
81,2CXO J001402.5-493917,13471,AGN,0.5072086967705496,0.0025667856661379922,0.09082004645912616,0.3071644576399402,0.09224001346424601
82,2CXO J001408.1-493756,13471,AGN,0.47920668073872225,0.004139101998737679,0.1366822664283815,0.16900021260226158,0.21097173823189697
89,2CXO J001429.5-493746,13471,QSO,0.3303453231862153,0.0043166183802517905,0.1552724512667703,0.4094302779935468,0.10063532917321572
